id,domain,taskId,topic,question,answerA,answerB,answerC,answerD,correctAnswer,answerIndex,rationale,difficulty,source,chapter,sourceItemId,status,coachBob,release,questionType,cognitiveLevel,studyRedirect,sourceUrl,integrationRelease,integrationDecision,appAction,contentHash,userApprovedForStaging,approvalRelease,priorStatus,reviewNotes
RPSGT-V877-D1-Q012,1,1B,Actigraphy for PLMD,Why is actigraphy not sufficient to diagnose periodic limb movement disorder?,"PLMD diagnosis requires EMG-based limb movement detection, not actigraphy in place of EMG",Actigraphy measures CO2 only,Actigraphy is valid only during REM sleep,Actigraphy cannot estimate any sleep-wake pattern,A,0,AASM strongly recommends not using actigraphy in place of EMG for diagnosing PLMD.,Core,Actigraphy Guideline,Summary,RPSGT-V876-CORE-072,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,89145c9f1e6d03ac,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q013,1,1B,Actigraphy Use,For which clinical uses may actigraphy be conditionally helpful?,Replacing EEG for sleep staging in diagnostic PSG,Estimating sleep parameters in selected insomnia or circadian rhythm disorder patients,Replacing leg EMG for PLMD diagnosis,Scoring hypopneas during PAP titration,B,1,Actigraphy can help estimate sleep parameters in selected insomnia and circadian rhythm disorder evaluations.,Core,Actigraphy Guideline,Summary,RPSGT-V876-CORE-073,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,6c90abf044c27892,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q014,1,1B,Actigraphy Duration,What recording duration is commonly recommended for clinical actigraphy validity?,Exactly one 20-minute nap,Only the first REM period,Minimum 72 hours to 14 consecutive days,A single 30-second epoch,C,2,Recommended actigraphy recording duration is typically at least 72 hours and up to 14 consecutive days.,Core,Actigraphy Guideline,Pg 1232,RPSGT-V876-CORE-074,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,44f530a44c2d6bc8,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q015,1,1A,Narcolepsy Treatment Adult Strong,Which medication group includes adult narcolepsy treatments with strong AASM recommendations?,Only diphenhydramine and melatonin,Only iron and folate,Only inhaled bronchodilators,"Modafinil, pitolisant, sodium oxybate, and solriamfetol",D,3,"For adult narcolepsy, strongly recommended treatments include modafinil, pitolisant, sodium oxybate, and solriamfetol when clinically appropriate.",Core,Hypersomnia Guideline,Summary,RPSGT-V876-CORE-084,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,dd941d63639efff5,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q016,1,1A,IH Strong Treatment,"For adult idiopathic hypersomnia, which medication has a strong recommendation in the source layer?",Modafinil,Clonazepam,Albuterol,Acetazolamide only,A,0,The staged source layer identifies modafinil as the strongly recommended medication option for adult idiopathic hypersomnia when clinically appropriate.,Core,Hypersomnia Guideline,Summary,RPSGT-V876-CORE-085,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,b07369c8d3a83264,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q017,1,1D,Bedroom Safety,A patient with REM sleep behavior disorder reports violent dream enactment. Which bedroom safety advice is most appropriate?,Add extra glass objects near the bed for awareness,Remove weapons and sharp objects and pad or move hazardous furniture,Encourage the patient to sleep on the top bunk,Tell the patient that safety changes are unnecessary unless PSG shows apnea,B,1,"RBD safety counseling includes removing weapons and sharp objects, padding or moving hazardous furniture, and reducing injury risk around the bed.",Core,RBD 2023,Summary,RPSGT-V876-CORE-087,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,f92d02907a01031c,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q018,1,1D,Bed Partner Safety,"For severe REM sleep behavior disorder behaviors, which bed-partner safety strategy may be appropriate?",Using alcohol to deepen sleep,Removing all floor padding,Sleeping separately temporarily or using a protective pillow barrier,Avoiding any discussion of injury risk,C,2,"When RBD behaviors are severe, bed-partner safety may require temporary separate sleeping arrangements or protective barriers.",Core,RBD 2023,Summary,RPSGT-V876-CORE-088,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,bf6202e4053d2e22,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q019,1,1B,Drug-Induced RBD,"If adult REM sleep behavior disorder is suspected to be drug-induced, what management concept is supported in the source layer?",The suspected medication should always be doubled immediately,Drug-induced RBD is never considered in adults,Only oxygen titration is recommended,Clinician-directed discontinuation of the triggering drug may be suggested when safe and appropriate,D,3,"For drug-induced RBD in adults, discontinuation of the suspected medication may be suggested when clinically appropriate and safe.",Advanced,RBD 2023,Summary,RPSGT-V876-CORE-090,Live,Do not tell patients to stop medications yourself; know the guideline concept and route it to the clinician.,v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,2b990cbe711fc108,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q020,1,1B,ASWPD Evening Light,Which treatment timing is suggested for adults with advanced sleep-wake phase disorder?,Evening light therapy,Morning melatonin only,No light exposure after noon for all patients,Overnight oxygen therapy,A,0,AASM 2015 suggests evening light therapy for adults with advanced sleep-wake phase disorder.,Core,Circadian 2015,Summary,RPSGT-V876-CORE-091,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,7ac8b1702ba461ba,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q021,1,1B,DSWPD Melatonin,Which intervention may be used strategically for delayed sleep-wake phase disorder?,Un-timed caffeine at bedtime,Timed melatonin,Routine ASV,Leg EMG replacement with actigraphy,B,1,Strategically timed melatonin may be used for delayed sleep-wake phase disorder in adults and children in selected clinical contexts.,Core,Circadian 2015,Summary,RPSGT-V876-CORE-092,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,8f878f084a2aab58,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q022,1,1B,Blind N24SWD,"For non-24-hour sleep-wake rhythm disorder in blind adults, which intervention is suggested in the staged source layer?",Evening oxygen by default,BPAP without a backup rate for all patients,Strategically timed melatonin,A single MSLT nap as treatment,C,2,AASM 2015 suggests strategically timed melatonin for non-24-hour sleep-wake rhythm disorder in blind adults.,Core,Circadian 2015,Summary,RPSGT-V876-CORE-093,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,5e748a941336c081,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q023,1,1B,ISWRD Medication Warning,Which therapy is strongly recommended against for irregular sleep-wake rhythm disorder in older adults with dementia?,Safe daylight/activity routines,Caregiver education,Environmental cueing,Sleep-promoting medications,D,3,AASM 2015 strongly recommends against sleep-promoting medications for irregular sleep-wake rhythm disorder in older adults with dementia.,Core,Circadian 2015,Summary,RPSGT-V876-CORE-094,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,d103f93ec8d483bd,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q025,1,1B,Long Washout,Why might some medications require a washout longer than 2 weeks before MSLT/MWT?,They always increase leg EMG amplitude,Long half-lives or active metabolites may affect testing for up to about 6 weeks,They make actigraphy replace PSG,They eliminate the need for a PSG the night before,B,1,"Medications or metabolites with long half-lives may require longer washout, potentially up to 6 weeks, when clinically safe and appropriate.",Advanced,JCSM 17(12),Summary,RPSGT-V876-CORE-099,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,590200e36a499e1b,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q026,1,1B,Nicotine Protocol,Which instruction aligns with MSLT/MWT preparation principles?,Encourage caffeine immediately before every nap trial,Allow alcohol to improve sleep latency measurement,"Restrict nicotine before nap trials and avoid alcohol, caffeine, marijuana, and other affecting agents on test day per protocol",Skip documenting medication use,C,2,"MSLT/MWT protocols restrict substances that alter alertness or REM expression, including nicotine near nap trials and alcohol/caffeine/marijuana on test day per protocol.",Core,JCSM 17(12),Summary,RPSGT-V876-CORE-104,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,21a42cad46c733ba,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q028,1,1B,DLMO Stability,Which marker is described as one of the most stable and accurate available measures of circadian phase?,Dim Light Melatonin Onset,Peak snoring volume,Morning pulse oximetry artifact,Chin EMG atonia level,A,0,"Dim Light Melatonin Onset, or DLMO, is a stable and accurate marker of circadian phase.",Core,Circadian Review,Summary,RPSGT-V876-CORE-113,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,fa5d312af86ee239,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q029,1,1A,AOP Definition,Which definition best describes apnea of prematurity?,Any snore longer than 3 seconds in an adult,"Breathing cessation for more than 20 seconds, or a shorter pause with bradycardia, cyanosis, pallor, or desaturation findings",A REM-only nightmare with recall,An obstructive apnea lasting exactly 10 seconds in adults,B,1,"Apnea of prematurity is commonly defined as breathing cessation greater than 20 seconds, or a shorter pause associated with concerning physiologic changes such as bradycardia or color change.",Core,AOP Review,Summary,RPSGT-V876-CORE-116,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,6f90a3bab3e25b8c,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q030,1,1B,First Trimester Sleep,Which sleep pattern is common in the first trimester of pregnancy?,Complete elimination of awakenings,Universal absence of daytime sleepiness,Increased sleep duration and napping with possible reduced sleep quality,Mandatory REM sleep behavior disorder,C,2,"First-trimester sleep may include increased sleep duration and napping, while sleep quality can be reduced by insomnia, awakenings, or physiologic symptoms.",Core,Lee-Chiong,Pg 448,RPSGT-V876-CORE-117,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,dd362488cb0baa02,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q031,1,1B,Third Trimester Sleep,Which sleep issue cluster becomes more common in the third trimester of pregnancy?,Nocturnal sleep becomes universally consolidated,RLS disappears in all patients,Sleep-disordered breathing risk drops to zero,"More awakenings, sleep fragmentation, RLS, snoring, and sleep-disordered breathing risk",D,3,"Third-trimester pregnancy is often associated with frequent awakenings, fragmentation, and increased risk of RLS, snoring, and SDB.",Core,Clinician's Guide,Pg 332,RPSGT-V876-CORE-118,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,f9ca18c87912d737,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q032,1,1B,Pregnancy Hormones,Which statement best describes pregnancy-related hormonal effects on sleep in the source layer?,"Progesterone may have sedating and respiratory-stimulant effects, while estrogen-related changes can affect sleep and upper airway symptoms",Progesterone eliminates all sleepiness,Estrogen has no relationship to sleep symptoms,Pregnancy hormones only affect limb EMG filters,A,0,"Pregnancy-related hormones can affect sleep quality, respiratory drive, upper airway congestion, and awakenings.",Advanced,Lee-Chiong,Pg 449,RPSGT-V876-CORE-119,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,178b21292a5f0df1,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q033,1,1B,Menopausal Insomnia,Menopausal insomnia is often related to which symptom group?,Mandatory central apnea in every REM period,Hot flashes and night sweats causing repetitive arousals,AASM-required MSLT testing in all cases,Loss of all N2 sleep markers,B,1,Vasomotor symptoms such as hot flashes and night sweats can fragment sleep and contribute to menopausal insomnia.,Core,Lee-Chiong,Pg 453,RPSGT-V876-CORE-122,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,0e7aa54abf7066a1,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q034,1,1B,Insomnia Comorbidities,Which group contains medical conditions that may contribute to insomnia?,Only primary snoring and normal aging,Only low room temperature,"GERD, COPD, asthma, CAD, CHF, hyperthyroidism, and chronic pain conditions",Only stage N2 sleep spindles,C,2,"Medical contributors to insomnia include reflux, pulmonary disease, cardiovascular disease, hyperthyroidism, and pain conditions.",Core,Clinician's Guide,Pg 93,RPSGT-V876-CORE-125,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,12d9736eb6101d69,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q035,1,1B,OSA and Metabolism,How can obstructive sleep apnea contribute to metabolic risk?,OSA eliminates sympathetic activation,OSA prevents all glucose changes,OSA affects only eye movements,Intermittent hypoxemia and arousals increase sympathetic activity and are linked to insulin resistance,D,3,OSA-related intermittent hypoxemia and arousals can increase sympathetic activation and have been linked with insulin resistance.,Core,Clinical Atlas,Pg 22,RPSGT-V876-CORE-126,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,83a3896ad0a0da66,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q036,1,1A,Overlap Syndrome,What is overlap syndrome?,Coexistence of obstructive sleep apnea and COPD,Coexistence of nightmares and sleepwalking only,Presence of both E1 and E2 electrodes,A PSG with both lights off and lights on,A,0,Overlap syndrome refers to the coexistence of obstructive sleep apnea and chronic obstructive pulmonary disease.,Core,Clinician's Guide,Pg 163,RPSGT-V876-CORE-127,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,4965af2cd630045f,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q037,1,1B,Neuromuscular Sleep,Why can REM sleep be especially risky in some neuromuscular disorders?,REM sleep increases all accessory muscle tone to maximum,"Accessory respiratory muscle tone is reduced, so weak diaphragmatic function can lead to marked hypoxemia or hypoventilation",REM sleep prevents hypoventilation,REM sleep eliminates the need for CO2 monitoring,B,1,"During REM, accessory muscle tone is reduced. Patients with impaired respiratory muscle strength may develop REM-related hypoxemia or hypoventilation.",Advanced,Clinician's Guide,Pg 164,RPSGT-V876-CORE-128,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,7876e4bf291c05b8,True,,Quality_Pass_Balanced_Ready,
